Employee Name,Employee Number,State,Zip,DOB,Age,Sex,MaritalDesc,CitizenDesc,Hispanic/Latino,RaceDesc,Date of Hire,Date of Termination,Reason For Term,Employment Status,Department,Position,Pay Rate,Manager Name,Employee Source,Performance Score,
"Singh, Nan ",1307059817,MA,2330,5/19/1988,29,Female,Single,US Citizen,No,White,5/1/2015,,N/A - still employed,Active,Admin Offices,Administrative Assistant,16.56,Brandon R. LeBlanc,Website Banner Ads,N/A- too early to review,
"Smith, Leigh Ann",711007713,MA,1844,6/14/1987,30,Female,Married,US Citizen,No,Asian,9/26/2011,9/25/2013,career change,Voluntarily Terminated,Admin Offices,Administrative Assistant,20.5,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,
"Boutwell, Bonalyn",1307060188,MA,2468,4/4/1987,30,Female,Married,US Citizen,No,Asian,2/16/2015,,N/A - still employed,Active,Admin Offices,Sr. Accountant,34.95,Brandon R. LeBlanc,Diversity Job Fair,90-day meets,
"Murray, Thomas",1406068403,TX,78230,7/4/1988,29,Male,Divorced,US Citizen,No,Black or African American,11/10/2014,,N/A - still employed,Active,IT/IS,Database Administrator,35.5,Simon Roup,Diversity Job Fair,Exceptional,
"Salter, Jason",1111030148,MA,2452,12/17/1987,30,Male,Divorced,US Citizen,No,Black or African American,1/5/2015,10/31/2015,hours,Voluntarily Terminated,IT/IS,Database Administrator,45,Simon Roup,Vendor Referral,90-day meets,
"Lindsay, Leonara ",602000312,CT,6070,10/5/1988,29,Female,Single,US Citizen,Yes,Two or more races,1/21/2011,,N/A - still employed,Active,IT/IS,IT Support,26,Eric Dougall,Diversity Job Fair,Exceeds,
"Bacong, Alejandro ",1212052023,MA,1886,1/7/1988,30,Male,Divorced,US Citizen,No,White,1/5/2015,,N/A - still employed,Active,IT/IS,Network Engineer,45,Peter Monroe,Glassdoor,90-day meets,
"Cisco, Anthony",1102024173,MA,2135,11/24/1989,28,Male,Married,US Citizen,Yes,White,3/30/2015,,N/A - still employed,Active,IT/IS,Network Engineer,42,Peter Monroe,Information Session,N/A- too early to review,
"Dolan, Linda",1101023540,MA,2119,7/18/1988,29,Female,Married,US Citizen,No,White,1/5/2015,,N/A - still employed,Active,IT/IS,Network Engineer,37,Peter Monroe,Employee Referral,90-day meets,
"Merlos, Carlos",1012023013,MA,2138,6/18/1987,30,Male,Single,US Citizen,No,White,3/30/2015,,N/A - still employed,Active,IT/IS,Network Engineer,43,Peter Monroe,Vendor Referral,N/A- too early to review,
"Tredinnick, Neville ",1104025466,MA,1420,5/5/1988,29,Male,Married,US Citizen,No,White,1/5/2015,5/12/2015,medical issues,Voluntarily Terminated,IT/IS,Network Engineer,28,Peter Monroe,Monster.com,Fully Meets,
"Alagbe,Trina",1011022883,MA,1886,9/27/1988,29,Female,Married,US Citizen,No,White,1/7/2008,,N/A - still employed,Active,Production       ,Production Technician I,21,Elijiah Gray,Billboard,Fully Meets,
"Anderson, Carol ",1001417624,MA,2169,9/8/1989,28,Female,Divorced,US Citizen,No,White,7/11/2011,9/6/2011,return to school,Voluntarily Terminated,Production       ,Production Technician I,16,Webster Butler,Word of Mouth,N/A- too early to review,
"Billis, Helen",1308060366,MA,2031,9/1/1989,28,Female,Married,US Citizen,No,White,7/7/2014,,N/A - still employed,Active,Production       ,Production Technician I,16,Brannon Miller,Professional Society,Exceeds,
"Brill, Donna",1406068293,MA,1701,8/24/1990,27,Female,Married,US Citizen,No,White,4/2/2012,6/15/2013,Another position,Voluntarily Terminated,Production       ,Production Technician I,20,David Stanley,Search Engine - Google Bing Yahoo,Fully Meets,
"Cierpiszewski, Caroline  ",1012023295,MA,2044,5/31/1988,29,Female,Single,Non-Citizen,No,Black or African American,10/3/2011,,N/A - still employed,Active,Production       ,Production Technician I,22,Ketsia Liebig,Pay Per Click - Google,Fully Meets,
"Crimmings,   Jean",1311063172,MA,1821,4/10/1987,30,Female,Single,US Citizen,No,White,7/6/2016,,N/A - Has not started yet,Future Start,Production       ,Production Technician I,19.75,Michael Albert,Newspager/Magazine,N/A- too early to review,
"Eaton, Marianne",1406067865,MA,2343,9/5/1991,26,Female,Married,US Citizen,No,White,4/4/2011,6/6/2013,military,Voluntarily Terminated,Production       ,Production Technician I,17,Kissy Sullivan,Search Engine - Google Bing Yahoo,Fully Meets,
